SPtag	ScientificName
Aalbirostris	Anthracoceros albirostris
Abinturong	Arctictis binturong
Acinereus	Aonyx cinereus
Bbubalis	Bubalus bubalis
Bjavanicus	Bos javanicus
Brhinoceros	Buceros rhinoceros
Btaurus	Bos taurus
Calpinus	Cuon alpinus 
Cnotatus	Callosciurus notatus
Cprevostii	Callosciurus prevostii
Ctemminckii	Catopuma temminckii
Ecaeruleus	Elanus caeruleus
Emaximus	Elephas maximus 
Hagilis	Hylobates agilis 
Halbibarbis	Hylobates albibarbis
Hbrachyura	Hystrix brachyura
Hcrassispinis	Hystrix crassispinis
Hjavanica	Hystrix javanica
Hleucogaster	Haliaeetus leucogaster
Hmalayanus	Helarctos malayanus 
Hmoloch	Hylobates moloch
Hsapien	Homo sapiens
Hsumatrae	Hystrix sumatrae
Imalayensis	Ictinaetus malayensis
Lsumatrana	Lutra sumatrana
Mfascicularis	Macaca fascicularis
Miscellaneous	Miscellaneous
Mjavanica 	Manis javanica 
Mmuntjac	Muntiacus muntjac 
Mnemestrina	Macaca nemestrina
Mnigra	Macaca nigra
Mnigrescens	Macaca nigrescens
Morientalis	Melogale orientalis
Nbancanus	Nycticebus bancanus
Nbartelsi	Nisaetus bartelsi 
Nborneanus	Nycticebus borneanus
Ncirrhatus	Nisaetus cirrhatus 
Ncoucang	Nycticebus coucang
Ndiardi	Neofelis diardi
Nhilleri	Nycticebus hilleri
Njavanicus	Nycticebus javanicus
Nkayan	Nycticebus kayan
Nlarvatus	Nasalis larvatus
Nmenagensis	Nycticebus menagensis
Nnebulosa	Neofelis nebulosa 
Palbelii	Pongo albelii 
Pbengalensis	Prionailurus bengalensis
Pcomata	Presbytis comata 
Pfredericae	Presbytis fredericae 
Phermaphroditus	Paradoxurus hermaphroditus
Pmelalophos	Presbytis melalophos 
Pmuticus	Pavo muticus
Ppardus	Panthera pardus melas
Ppygmaeus	Pongo pygmaeus
Prubicunda	Presbytis rubicunda
Ptapanuliensis	Pongo tapanuliensis
Ptigris	Panthera tigris
Pviverrinus	Prionailurus viverrinus
Rbicolor	Ratufa bicolor
Rsondaicus	Rhinoceros sondaicus
Rtimorensis	Rusa timorensis
Rundulatus	Rhyticeros undulatus
Runicolor	Rusa unicolor
Sbarbatus	Sus barbatus
Sbitorquata 	Streptopelia bitorquata 
Schella	Spilornis cheela 
Schinensis	Spilopelia chinensis 
Sscrofa	Sus scrofa
Sverrucosus	Sus verrucosus
Tauratus	Trachypithecus auratus
Tindicus	Tapirus indicus
Tjavanicus	Tragulus javanica
Tnapu	Tragulus napu
Vindica	Viverricula indica
